Date,Route,Rating,Notes,URL,Pitches,Location,Lat and long
2019-07-20,Molar Concentration,5.10b,,https://www.mountainproject.com/route/105947661/molar-concentration,1,California > Lake Tahoe > I-80 Corridor > Donner Summit > Snowshed Wall > North Face > 2. Gully - Left Side,"39.31615, -120.31908"
2019-08-09,The Subliminal Verses,5.10-,An insane summit view.  hidden rappel woes,https://www.mountainproject.com/route/111582089/the-subliminal-verses,10,California > Sequoia & Kings Canyon NP > Hamilton Lakes and Valhalla > Hamilton Dome,"36.55581, -118.59402"
2019-08-10,South Arete Direct,5.12,Thorn: endless descending.  Rose: Extra starting pitch.  Black roof OS. Summit sunset.,https://www.mountainproject.com/route/114559003/south-arete-direct,13,California > Sequoia & Kings Canyon NP > Hamilton Lakes and Valhalla > Angel Wings,"36.57173, -118.58449"
2019-08-11,Valkyrie,5.11+,Cragged the first three in the ominous fog.  We&#39;ll be back.,https://www.mountainproject.com/route/110785246/valkyrie,3,California > Sequoia & Kings Canyon NP > Hamilton Lakes and Valhalla > Angel Wings,"36.57173, -118.58449"
2019-08-30,Astro-Gil,5.11,Team Snack Pack.  P2 Double fist snacking for days.,https://www.mountainproject.com/route/107880770/astro-gil,11,California > Sequoia & Kings Canyon NP > Tehipite Dome,"36.9188, -118.781"
2019-09-07,The Great Escape,5.11d,,https://www.mountainproject.com/route/105867142/the-great-escape,4,California > Yosemite National Park > Yosemite Valley > Valley South Side > L.  The Chapel Wall,"37.738, -119.59215"
2019-09-08,Riding on the Wind,5.11+,130am summit . 8am burrito. ,https://www.mountainproject.com/route/116665216/riding-on-the-wind,10,California > Yosemite National Park > Yosemite Valley > Valley South Side > R. The Widow's Tears Area,"37.70879, -119.66567"
2019-10-11,What's Up Bubb?,5.12a/b,J’s birthday. S crimped on some Becky bolts.,https://www.mountainproject.com/route/109475790/whats-up-bubb,3,California > High Sierra > 12 - Kearsarge Pass to Cedar Grove > Bubbs Creek Wall,"36.77106, -118.47295"
2019-10-13,The Emperor,5.12a PG13,"4 the first time, 5 pitches the second go
The wizard OSs the wizard pitch.  ",https://www.mountainproject.com/route/110776954/the-emperor,9,California > High Sierra > 12 - Kearsarge Pass to Cedar Grove > Bubbs Creek Wall,"36.77106, -118.47295"
2019-10-14,South Face,5.8,Redpointed the descent. After botching the descent off the top.  Simul fun. ,https://www.mountainproject.com/route/105803532/south-face,12,California > High Sierra > 12 - Kearsarge Pass to Cedar Grove > Charlotte Dome,"36.78245, -118.48013"
2019-10-18,Sunnyside Bench Regular Route,5.5,Approached to the heinously wonderful LAC,https://www.mountainproject.com/route/106561511/sunnyside-bench-regular-route,3,California > Yosemite National Park > Yosemite Valley > Valley North Side > E. Yosemite Falls Area > Sunnyside Bench,"37.7507, -119.59446"
2019-10-19,Lost Arrow Chimney,5.10a,Alarm clock set for 245am.  Back to the car the following day 6am.  ,https://www.mountainproject.com/route/107871190/lost-arrow-chimney,10,California > Yosemite National Park > Yosemite Valley > Valley North Side > E. Yosemite Falls Area > Lost Arrow Spire,"37.75604, -119.59553"
2019-10-26,"Worst Error, Left",5.9,proud and unnerving lead without cigarettes or honey.  Final mossy mantel was intense.,https://www.mountainproject.com/route/107723809/worst-error-left,4,California > Yosemite National Park > Yosemite Valley > Lower Merced River Canyon > Bc. Elephant Rock Area > Elephant Rock,"37.71483, -119.71477"
2019-10-27,Golden Years,5.12c,OS until the 12c traverse.  It &#34;snowed&#34;,https://www.mountainproject.com/route/108513574/golden-years,4,California > Yosemite National Park > Yosemite Valley > Valley North Side > C. El Cap Picnic Area (Eagle Creek) > 4. Slab Happy Pinnacle,"37.73113, -119.62451"
2019-10-28,Waverly Wafer,5.11a,old school 10c. switching to left side in was key beta.,https://www.mountainproject.com/route/105992951/waverly-wafer,1,California > Yosemite National Park > Yosemite Valley > Lower Merced River Canyon > Aj. Cookie Area > The Cookie Cliff,"37.71772, -119.71881"
2019-10-28,Butterfingers,5.11a,11a ha.  ,https://www.mountainproject.com/route/106026248/butterfingers,1,California > Yosemite National Park > Yosemite Valley > Lower Merced River Canyon > Aj. Cookie Area > The Cookie Cliff,"37.71772, -119.71881"
2019-10-28,Butterballs,5.11c,OS but did not lead it on nuts like Bachar,https://www.mountainproject.com/route/105936538/butterballs,1,California > Yosemite National Park > Yosemite Valley > Lower Merced River Canyon > Aj. Cookie Area > The Cookie Cliff,"37.71772, -119.71881"
2019-11-01,Bircheff-Williams,5.11d,,https://www.mountainproject.com/route/105870694/bircheff-williams,2,California > Yosemite National Park > Yosemite Valley > Valley South Side > P. Cathedral Area > 6. Middle Cathedral Rock,"37.7165, -119.6363"
2019-11-02,Perfect Vision,5.11d R,Took a variation to P1.  J fell once on  P3.  Beautiful route.,https://www.mountainproject.com/route/106141375/perfect-vision,5,California > Yosemite National Park > Yosemite Valley > Valley South Side > P. Cathedral Area > 5. Higher Cathedral Rock,"37.71439, -119.63469"
2019-11-16,Random Blessings,5.10d PG13,"J took a 50&#39; at the grigri to simul change over.  Runout p6. Key pro: black totem, offset brass",https://www.mountainproject.com/route/110245159/random-blessings,8,California > Yosemite National Park > Yosemite Valley > Valley North Side > C. El Cap Picnic Area (Eagle Creek) > 4. Slab Happy Pinnacle,"37.73113, -119.62451"
2019-11-17,Bridalveil Falls East,5.10c,"Great blue collar route. Harding, what a sandbagger.",https://www.mountainproject.com/route/109526922/bridalveil-falls-east,8,California > Yosemite National Park > Yosemite Valley > Valley South Side > P. Cathedral Area > 7. Lower Cathedral Area > Lower Cathedral West,"37.71843, -119.64659"
2019-11-18,Tiger by the Tail,5.11c,With Snack Harder,https://www.mountainproject.com/route/111971938/tiger-by-the-tail,2,"California > Southern-Western Sierra > Hwy 168:Tollhouse, Shaver Lake, Courtright > Courtright Reservoir > Tiger Wall","37.07354, -118.97155"
2019-11-18,Hungry Tiger,5.10b/c,,https://www.mountainproject.com/route/108354842/hungry-tiger,1,"California > Southern-Western Sierra > Hwy 168:Tollhouse, Shaver Lake, Courtright > Courtright Reservoir > Tiger Wall","37.07354, -118.97155"
2019-11-18,Crimson Chrysalis,5.8+,Don’t link. Enjoy the pitches. So much rope drag.,https://www.mountainproject.com/route/105732281/crimson-chrysalis,9,Nevada > Southern Nevada > Red Rocks > (11) Juniper Canyon > Cloud Tower,"36.11237, -115.48908"
2019-11-25,Resurrection,5.12c,Can rap with a single 70 on the rap line,https://www.mountainproject.com/route/119513779/resurrection,17,California > Yosemite National Park > Hetch Hetchy > Hetch Hetchy Dome,"37.96477, -119.75489"
2019-11-27,The Shroud,5.12a,Wiiiiindy.  Almost blown off the roof.  ,https://www.mountainproject.com/route/106358710/the-shroud,4,International > North America > Mexico > Nuevo Leon > El Potrero Chico > Virgin Canyon > Lower Virgin,"25.9498, -100.47741"
2019-11-28,Thunderkiss,5.12a,Able to link p3+4 with a 70.  Careful rapping the independent from 5.  Was a rope stretcher for us. ,https://www.mountainproject.com/route/106098897/thunderkiss,5,International > North America > Mexico > Nuevo Leon > El Potrero Chico > Las Estrellas Canyon > Las Estrellas Main Wall,"25.95042, -100.47577"
2019-11-28,Afro Juan,5.12c,Mono warmup for J,https://www.mountainproject.com/route/106213462/afro-juan,1,International > North America > Mexico > Nuevo Leon > El Potrero Chico > The Outrage Wall,"25.94802, -100.47771"
2019-11-28,Snott Girlz,5.10+,Jugalicious and summit sending snakes,https://www.mountainproject.com/route/106115483/snott-girlz,7,International > North America > Mexico > Nuevo Leon > El Potrero Chico > Mota Wall,"25.94747, -100.4761"
2019-11-29,The Raven,5.11b,One mega link.  Listened to an entertaining rap epic next door.,https://www.mountainproject.com/route/106336940/the-raven,3,International > North America > Mexico > Nuevo Leon > El Potrero Chico > The Conundrums,"25.9485, -100.47459"
2019-11-29,Inglorious Bastards,5.12a,J walked it. S did not feel it was a vacation grade.,https://www.mountainproject.com/route/107110717/inglorious-bastards,1,International > North America > Mexico > Nuevo Leon > El Potrero Chico > TNT Wall,"25.9484, -100.47513"
2019-11-29,No Habla Espanol,5.11b,,https://www.mountainproject.com/route/107456076/no-habla-espanol,1,International > North America > Mexico > Nuevo Leon > El Potrero Chico > TNT Wall,"25.9484, -100.47513"
2019-11-29,Señor Sucio,5.10c,,https://www.mountainproject.com/route/110063888/senor-sucio,1,International > North America > Mexico > Nuevo Leon > El Potrero Chico > TNT Wall,"25.9484, -100.47513"
2019-11-29,Baked Fresh Daily,5.10c,,https://www.mountainproject.com/route/106177922/baked-fresh-daily,1,International > North America > Mexico > Nuevo Leon > El Potrero Chico > TNT Wall,"25.9484, -100.47513"
2019-11-30,Natural Mystic,5.12a,,https://www.mountainproject.com/route/106374387/natural-mystic,1,International > North America > Mexico > Nuevo Leon > El Potrero Chico > El Toro (The Front Side) > Land  Of The Free,"25.95244, -100.48256"
2019-11-30,Land of the Free,5.12b PG13,Apache start (pumpy) and linked 3/4 and 5/6.  Bag snooper fixed line coiling mystery weirded us out.,https://www.mountainproject.com/route/105914224/land-of-the-free,6,International > North America > Mexico > Nuevo Leon > El Potrero Chico > El Toro (The Front Side) > Land  Of The Free,"25.95138, -100.48003"
2019-12-01,Zuma Dog,5.12a/b,Hard cryptic 12a,https://www.mountainproject.com/route/111633310/zuma-dog,1,International > North America > Mexico > Nuevo Leon > El Potrero Chico > El Fin de Semana (Weekend Wall),"25.95088, -100.47578"
2019-12-01,Hombre de Rifle,5.13a,2 falls.  Graceful onsight attempt by J.  What a smooth operator.  ,https://www.mountainproject.com/route/106358104/hombre-de-rifle,1,International > North America > Mexico > Nuevo Leon > El Potrero Chico > El Fin de Semana (Weekend Wall),"25.95088, -100.47578"
2019-12-01,Treasure of the Sierra Madre,5.10c,Linked 1/2 and then melted back to the ground in a hurried retreat. ,https://www.mountainproject.com/route/105949507/treasure-of-the-sierra-madre,2,International > North America > Mexico > Nuevo Leon > El Potrero Chico > Mota Wall,"25.94747, -100.4761"
2019-12-01,El Sendero Diablo (The Devil's Path),5.11c,Linked 1-2 and 5-6 with a 70.  So fun.  Cloudy was a +,https://www.mountainproject.com/route/106175808/el-sendero-diablo-the-devils-path,6,International > North America > Mexico > Nuevo Leon > El Potrero Chico > The Outrage Wall,"25.94802, -100.47771"
2019-12-02,Land of the Free,5.12b PG13,"J linked 3/4, 5/6, 7/8.  3-8 were incredible",https://www.mountainproject.com/route/105914224/land-of-the-free,9,International > North America > Mexico > Nuevo Leon > El Potrero Chico > El Toro (The Front Side) > Land  Of The Free,"25.95138, -100.48003"
2019-12-03,Don Quixote,5.11d,Climbed it so differently from each other,https://www.mountainproject.com/route/106186161/don-quixote,1,International > North America > Mexico > Nuevo Leon > El Potrero Chico > Virgin Canyon > Lower Virgin,"25.9498, -100.47741"
2019-12-03,Mexico in Flames,5.11c,Stay on the face,https://www.mountainproject.com/route/106702431/mexico-in-flames,1,International > North America > Mexico > Nuevo Leon > El Potrero Chico > Virgin Canyon > Lower Virgin,"25.9498, -100.47741"
2019-12-03,Celestial Omnibus,5.12a,RP second go.  “Shake it out” “I can’t!”,https://www.mountainproject.com/route/106099461/celestial-omnibus,3,International > North America > Mexico > Nuevo Leon > El Potrero Chico > The Outrage Wall,"25.94802, -100.47771"
2019-12-21,Squeeze Play,5.10a,So fun ,https://www.mountainproject.com/route/105792795/squeeze-play,1,Utah > Southwest Utah > Zion National Park > Cerberus Gendarme,"37.27435, -112.94437"
2019-12-21,The Fat Hedral,5.10c/d,,https://www.mountainproject.com/route/105811595/the-fat-hedral,1,Utah > Southwest Utah > Zion National Park > Cerberus Gendarme,"37.27435, -112.94437"
2019-12-21,Fails of Power,5.11c,P1 only.  2 after the roof not .75,https://www.mountainproject.com/route/105792792/fails-of-power,1,Utah > Southwest Utah > Zion National Park > Cerberus Gendarme,"37.27435, -112.94437"
2019-12-21,Scarlet Begonias,5.11a,,https://www.mountainproject.com/route/105811583/scarlet-begonias,1,Utah > Southwest Utah > Zion National Park > Cerberus Gendarme,"37.27435, -112.94437"
2019-12-21,Cherry Crack,5.10c,,https://www.mountainproject.com/route/105792767/cherry-crack,1,Utah > Southwest Utah > Zion National Park > Cerberus Gendarme,"37.27435, -112.94437"
2019-12-22,Plan B,5.12b,3 .75s and 5 #1s next time.  Roof takes a 2 and 3 but not a helmet. One #4 useful for the OW.  Glad J fell following lol.,https://www.mountainproject.com/route/105949019/plan-b,4,Utah > Southwest Utah > Zion National Park > Mt. Moroni,"37.24332, -112.96381"
2019-12-22,Smashmouth,5.11,,https://www.mountainproject.com/route/106754188/smashmouth,4,Utah > Southwest Utah > Zion National Park > The Confluence,"37.21192, -112.97002"
2019-12-25,Pistol Whipped,5.11a,,https://www.mountainproject.com/route/114153008/pistol-whipped,1,Nevada > Southern Nevada > La Madre Range > The Gun Club > Right (North) Wall,"36.22975, -115.3364"
2019-12-25,Point Blank,5.11b,,https://www.mountainproject.com/route/107361726/point-blank,1,Nevada > Southern Nevada > La Madre Range > The Gun Club > Right (North) Wall,"36.22975, -115.3364"
2019-12-25,Muzzle Loader,5.11c/d,,https://www.mountainproject.com/route/107361755/muzzle-loader,1,Nevada > Southern Nevada > La Madre Range > The Gun Club > Right (North) Wall,"36.22975, -115.3364"
2019-12-25,Cliffhanger,5.12a,,https://www.mountainproject.com/route/116250476/cliffhanger,1,Nevada > Southern Nevada > La Madre Range > The Gun Club > Right (North) Wall,"36.22975, -115.3364"
2019-12-25,Clay Pigeon,5.11a,,https://www.mountainproject.com/route/105887161/clay-pigeon,1,Nevada > Southern Nevada > La Madre Range > The Gun Club > Right (North) Wall,"36.22975, -115.3364"
2019-12-25,Under Cover,5.10c,Ssssharp,https://www.mountainproject.com/route/116212197/under-cover,1,Nevada > Southern Nevada > La Madre Range > The Gun Club > Right (North) Wall,"36.22975, -115.3364"
2019-12-28,Parallax View,5.7,Wo hard 5.7 chimney.  Thought I could solo it.  Ha.  ,https://www.mountainproject.com/route/107991750/parallax-view,1,Arizona > Central Arizona > **Phoenix Areas > Pinnacle Peak > Pinnacle Peak,"33.72624, -111.86334"
2019-12-28,South Crack,5.5,Linked the OW to the bolted face,https://www.mountainproject.com/route/106035000/south-crack,2,Arizona > Central Arizona > **Phoenix Areas > Pinnacle Peak > Pinnacle Peak,"33.72624, -111.86334"
2019-12-28,Birthday Party,5.7+,,https://www.mountainproject.com/route/105803641/birthday-party,1,Arizona > Central Arizona > **Phoenix Areas > Pinnacle Peak > Pinnacle Peak,"33.72624, -111.86334"
